company0,job_title0,descrip0,company1,job_title1,descrip1,company2,job_title2,descrip2,company3,job_title3,descrip3,company4,job_title4,descrip4,school,degree,school_score,skill_score,,
Airbnb,Machine Learning Engineer,Search team Machine learning for search ranking on Airbnb ,eBay Inc,Applied Researcher,Structured data team Marketplace Working on natural language processing tasks such as named entity recognition from user generated listing data Mainly using supervised machine learning techniques such as logistic regression  recurrent neural networks Implement big data machine learning solutions with Spark  ,University of Massachusetts,Research Assistant, Department of Quantitive Health Sciences Automatic generate protein protein interaction hypothesis by mining biomedical literature and existing interaction relations The work could potentially help biologist to efficiently identify their research target ,University of Wisconsin Milwaukee,Research Assistant,Scientific collaboration network analysis Build machine learning models to learn the patterns of collaborations in biomedicine and recommend future collaborators for researchers ,DataXu,Intern,Optimization team Apply machine learning for online advertising Train classification models on extremely unbalanced data set to predict the likelihood of the online audience of buying a certain product ,University of Wisconsin Milwaukee,PhD Computer Science 2008  2014,1,,,
Visa,Senior Software Engineer, Winner of Engineer s Choice award for publishing a white paper and presenting a demo on a next generation payment solution   Winner of Visa Global Hackathon 2016 for MakeLifeEasier theme  Self Healing Services  Working on B2B commercial web application using J2EE MySQL Spring Hibernate and Angular 2 0 technology stack Full Stack Development   Managing build cycle using Jenkins and performing various QA tasks including automation ,Appthority,Engineering Intern, Developed a test harness  a test automation solution for Appthority s SaaS solutions and mobile apps  Configured continuous integration and mobile app distribution environment , Student and Teaching Assistant at San Jose State University,Grad,Cloud Computing  Enterprise Software Technologies  Precalculus  Calculus  Involved in setting up the project codebase  technology stack for the professor  Conducted project discussion sessions   Quiz and exam grader  Proctor  Lab Assistant ,TiVo,Service Engineering Intern, Improved marshalling performance by 88 and reduced memory consumption by 99 by replacing the existing marshaller with the customized Jackson marshaller and building a cached validation map asynchronously ,Tata Consultancy Services,Assistant System Engineer, Saved 50 of data entry time by developing a WYSWYG component which automatically converts data to HTML   Implemented Assessment and Arrears  Recovery modules in Madhya Pradesh Government  Taxation Management System using J2EE Spring Hibernate JavaScript AJAX jQuery CSS and Oracle 11g  Part of the TCS Master Craft testing automation team ,San Jose State University,Master s Degree Computer Software Engineering 2014  2016,1,,,
Google,Google BOLD Summer Intern,Business Analyst at Accommodations Plus International January 2017   March 2017  3 months ,Accommodations Plus International,Business Analyst,Extern at Scouted formerly Snap  December 2016   December 2016 ,Scouted (formerly Snap!),Extern, Shadowed founding team of recruiting startup  Researched and presented findings on potential strategic partnerships for candidate acquisition  Worked with co founder and VP of Sales on improving client onboarding process ,r at G3 Acquisitions,Intern/Marketing Coordi, Advertised client products to wide customer base 120  150 people a day  Committed hundreds of hours of marketing and helped generate thousands of dollars in sales   over the summer  Worked with clients to explain product information in great detail to consumers   Worked in teams with other Marketing Coordinators to improve marketing strategies ,0,0,0,Dartmouth College,0,1,,,
Snapchat  Inc.,Software Engineer,Research Assistant at Syracuse University May 2015   Present  2 years 6 months ,Syracuse University,Research Assistant,Project MapReduce Resource Allocation Optimizer  Designed slot number estimation algorithm based on previous handling jobs the size of the target job and the soft deadline  Implemented scheduler that allocated slots following mathematical algorithm from paper and developed MapReduce applications in Hadoop for verification ,0,0,0,0,0,0,0,0,0,Syracuse University,Master s degree Computer Engineering 2013  2015,1,,,
Google,Software Engineer,Working on forecasting backend for DoubleClick Bid Manager ,Microsoft,Software Development Engineer,Whole page optimization for bing com  Development and optimization of the search back end code to improve relevance and revenue  Data pipelines for monitoring and alerting on search logs  Tools for experiment analysis ,Intel,Software Engineer,Developing OpenCL compiler for Intel architectures  Floating body physics implementation for Intel Larrabee SDK  Compiler development and performance optimization ,Intel Corporation,Software Engineering Intern, Floating body physics implementation for Intel Larrabee SDK  Developing tool for floating point accuracy validation ,0,0,0,State University of Nizhni Novgorod named after N I Lobachevsky UNN ,Master s degree Computer Science 2006  2012,1,,,
Google,Software Engineer,Software Engineer at Bloomberg LP September 2015   May 2017  1 year 9 months ,Bloomberg LP,Software Engineer,Graduate RA TA at Brown University September 2010   June 2015  4 years 10 months , RA (TA) at Brown University,Grad,Education Brown University Doctor of Philosophy Ph D  Condensed Matter and Computation Physics 2010  2015 Tongji University Bachelor Physics 2006  2010 ,0,0,0,0,0,0,Brown University,Tongji University,3,,,
Google,Software Engineer,Working in backend data infrastructure in Mesa More details about Mesa http  static googleusercontent com media research google com en pubs archive 42851 pdf ,Yahoo,Software Developer Engineer, Joined Yahoo Gemini a fast paced team within Yahoo which aims to revamp Yahoo s Native ads serving and redesign Yahoo s Mobile Search serving  2 in Mobile Search in the market   Worked on developing and maintaining the end to end testing infrastructure for Gemini from ad creation to reporting during the first 6 months in order to enable to team to ship new features with quality  Currently working on the reporting side of Gemini which aims to provide Yahoo s leadership with important information about Gemini marketplace conditions  Experience Java Tableau Hive Oracle Python ,Facebook,Software Engineering Intern, Developed and deployed a significant portion of a contact de duplication system It automatically recognized duplicate user database entries among several DBs and based on a certain confidence level merged similar users We built it using mainly SQL and PHP and the most interesting challenge was finding the right function to predict confidence level The function was trained on a DB of known duplicates and performed with 85 90 accuracy  System was mainly used by the recruiting team which used it to find duplicate candidate information in the system The system was able to remove 10 000 duplicates on a database of  1 000 000 users ,University of Pennsylvania,Tutor,During the past 3 years as a student at the University of Pennsylvania I worked part time as a tutor in Computer Science and Mathematics Subjects ranged from Calculus I  III and many entry to mid level computer science classes , Research at University of Pennsylvania,Undergrad,Worked on ways of enforcing security on a hardware level with Dr Andre DeHon ,University of Pennsylvania,Masters in Computer Science Computer Science Mathematics 2009  2013,3,,,
Amazon,Software Development Engineer,Electronics and Software Engineer at Southwest Research Institute March 2013   January 2017  3 years 11 months ,Southwest Research Institute,Electronics and Software Engineer,I am a do it all software and electronics engineer for the Southwest Research Institute Among my bigger roles was as a lead instrument software engineer on the BRRISON BOPPS mission  I wrote balloon flight software and integrated electronics CDH hardware for its science missions  Programming in C  Python Matlab and SQL I have experience creating custom interfaces between computer hardware and scientific cameras motors analog and digital sensing and control interfaces and data downlinking and uplinking perhiperals  ,Zach Dischner Photography,Photographer,High resolution nature and landscape photos portraits and commercial shoots ,Airbnb,Freelance Photographer,Travel to sites and document locations for rent Architectural and interior shoots Photos used in AirBnB website , Processing Technician at LASP,,Involved in updating and maintenance of production code for LASP s AIM project Some requirements are the ability to work with NetCDF files unix systems PostgreSQL MySQL and ,University of Colorado,Masters Bachelors Aerospace Engineering Electrical Engineering 2008  2013,1,,,
Snapchat  Inc.,Software Engineer,Growth  Identity Team Android Developer  Web Angular  GAE  Localization ,MassMutual Financial Group,Mobile Developer Intern,Developed the Android version of MassMutual News and Event application available on Google Play as a part of mobile team  ,0,0,0,0,0,0,0,0,0,Northeastern University,Master s degree Computer Science 2012  2014,1,,,
Cask Data,Software Engineer,Overview  Designed and developed various features from scratch while working on different aspects of our platform and Hadoop  Managed and delivered multiple product releases on time while working with the whole engineering team  Worked on multiple PoCs to onboard new customers and mentored various summer interns over the years  Provided production and developer support on rotation and contributed to the open source community of CDAP ,University of Minnesota,Research Assistant, Developing an open source software that automates the analysis and visualization of large sets of genetic data  Improvising the performance and usability of existing software to facilitate adoption by broader scientific community ,Amazon,Software Development Engineer (Intern), Summer intern in Clickstream Browse History Team under Website Application Platform and Builder Tools at Amazon   Designed and developed a self service tool for channel assignment process  a part of web analytics  Simplified and converted Hadoop jobs to develop a standalone channel assignment simulator  Worked with Amazon S3 Amazon DynamoDB Hadoop Ruby Ruby on Rails Java Git and scalability and concurrency issues  Wrote unit tests using TestNG and EasyMock frameworks ,University of Minnesota,Web Manager, Part time job during master s degree  Developed and administered Wordpress powered websites for IonE at University of Minnesota  MN ,MindTree Ltd.,Programmer Analyst, Undertook industry training in Embedded Practices domain which develops software for embedded devices  Worked extensively with System level programming C language Linux device drivers and Socket programming  Responsible for testing debugging and optimizing GPS module on OMAP 5 devices of Texas Instruments ,University of Minnesota Twin Cities,Master of Science M S  Computer Science 2012  2014,1,,,
Google,Software Engineer,Senior Software Engineer at LinkedIn August 2014   September 2016  2 years 2 months ,LinkedIn,Senior Software Engineer,Software Engineer at OSIsoft February 2013   August 2014  1 year 7 months ,OSIsoft,Software Engineer,Research Assistant at UC Berkeley July 2012   October 2012  4 months ,UC Berkeley,Research Assistant,Clarke group  Superconducting flux qubits , Student Instructor at UC Berkeley,Undergrad,Physics 111 Basic Semiconductor Circuits ,University of California Berkeley,Stanford University,2,,,
eBay,Senior Software Engineer,I currently work on the search backend query serving stack We design build and maintain the eBay search infrastructure ,eBay,Senior Software Engineer,I work on the Core Shipping team at eBay I am currently working on a small team tasked with re designing how shipping works in search and how shipping data flows into search indices within eBay  ,eBay Inc,Software Engineer II,I work on the Core Shipping team at eBay I am currently working on a small team tasked with re designing how shipping works in search and how shipping data flows into search indices within eBay  ,University of Southern California,Student Worker, Maintained the inventory database for USC housing and auxillary services I was also tasked with ordering and stock keeping ,Amazon,Software Development Engineer Intern,Worked as an SDE Intern in the Kindle Fire Launcher team and implemented a new Device metrics service for next generation kindle devices and was in charge of seeing end to end development and data propagation Was also able to work on implementing high level operational metrics for the devices The design was particularly considerate of battery restrictions and ensuring device performance is not affected ,University of Southern California,Master of Science M S  Computer Science 2012  2014,2,,,
Snapchat  Inc.,Software Engineer,Software Engineer 2 at Microsoft March 2016   December 2016  10 months ,Microsoft,Software Engineer 2,Azure Active Directory Identity Reporting ,Microsoft,Software Development Engineer,Azure Active Directory Identity Reporting ,on Consultant at NCS Group,Appli,Master of Science Student in Computer Science at National University of Singapore August 2009   June 2012  2 years 11 months ,National University of Singapore,Master of Science Student in Computer Science,As a MSc student I joined Human computer Interaction lab at NUS At first I worked on a project about exploring user motivations for eyes free interaction on mobile devices Then I tried to investigate cognitive resource competition in mobile Human computer Interaction ,National University of Singapore,Master of Science M Sc  Computer Science 2009  2012,1,,,
Google,Software Engineer,Monitoring and logging systems for Google Stackdriver part of Google Cloud Platform ,University of Pennsylvania,CIS 160 Teaching Assistant,Member of the Teaching Assistant team for Mathematical Foundations of Computer Science Fall 2014 Fall 2015 CIS 160  Responsibilities include teaching a weekly 1 hour long recitation to a class of around 20 students grading exams and assignments holding weekly office hours as well as assisting the professor in developing course material as an when required ,Google,Software Engineering Intern,Joined Google for the summer of 2015 as a part of their Social Data Infrastructure team I worked on writing large scale parallelized data processing pipelines for Social user data across a variety of Google products Pipelines were written in Java using internal libraries and implemented the MapReduce programming model Additionally worked to develop a Workflow management system for the team s periodic batch data processing jobs ,University of Pennsylvania,CIS 121 Teaching Assistant,Member of the Teaching Assistant team for Algorithms and Data Structures Spring 2015 CIS 121  Responsibilities include teaching a weekly 1 hour long recitation to a class of around 20 students ,Infosys,InStep Software Development Intern,Developed a POC for predicting Customer Churn in Telecom using Supervised Machine Learning techniques and Algorithms Developed the project using R Python Sci Kit Learn and Apache Mahout  Also worked on a analytics platform for Topic Modelling and text analytics using Lucene  Mahout and Python ,University of Pennsylvania,0,3,,,
Airbnb,Software Engineer,Principles of Functional Programming 15 150 Head Teaching Assistant at Carnegie Mellon University January 2016   May 2016  5 months ,0,University,Managed a team of 18 teaching assistants to conduct a 240 person introductory functional programming course aimed at computer science freshmen  ,Carnegie Mellon University,Compiler Design (15-411) Teaching Assistant,Software Development Intern at Jane Street Capital May 2015   August 2015  4 months ,Jane Street Capital,Software Development Intern,Algorithm Design and Analysis 15 451 Teaching Assistant at Carnegie Mellon University December 2014   May 2015  6 months ,Carnegie Mellon University,Algorithm Design and Analysis (15-451) Teaching Assistant,Parallel and Sequential Data Structures and Algorithms 15 210 Teaching Assistant at Carnegie Mellon University August 2014   December 2014  5 months ,Carnegie Mellon University,0,1,,,
Airbnb,Software Engineer,Design and develop front end application for internal tool to help with on boarding and off boarding users on particular platforms services ,ASUS North America,Front End Web Developer,Create sites of online campaigns maintain in house applications and develop WordPress sites for news blogging and an internal e commerce portal ,Incentive Networks,Front End Web Developer,Develop responsive web sites within proprietary Content Mangement System for online loyalty programs   Create custom JavaScript jQuery widgets and script library  Develop sites using HTML CSS JavaScript jQuery and mobile frameworks  Test for cross browser and iOS Android mobile device compatibility  Provide mobile and responsive development consulting to marketing team and fellow development team  Develop flexible dynamic parent templates that can be restyled according to client needs as child templates ,Volumebee,UX/Front End Web Developer Intern,Rebranding and developing current website and mobile application for Volumebee com to focus on the new product and services , at EDMC,Technology Assoc,Use of Microsoft 2010 Outlook Excel and Word Monitoring and controlling distribution of video  audio software and animation equipment to students and faculty Customer service and tier one tech support for Windows Macintosh and computer peripherals ,0,0,1,,,
Airbnb,Software Engineer,Full Stack Software Engineer at hiQ Labs January 2016   June 2017  1 year 6 months ,hiQ Labs,Full Stack Software Engineer, Orchestrated Rancher Jenkins build and data deployment of the flagship product  Implemented multiple full stack features using Django backend and React Redux frontend such as roles permissions file transfer profiles and more  Integrated an array of third party services such as Amazon S3 Mixpanel Google Analytics JIRA ,Smilefish,iOS Developer, Developed state of the art iOS application with significant client server integration via REST JSON services  Optimized iOS applications to meet the esthetics and business objectives of several clients  Utilized agile collaboration with designers werver development teams as well as Android and Windows Phone 8 counterparts ,Cloudy,Marketing and Tech Intern, Utilized social media and networking skills to bring awareness to the UC Irvine campus  Setup meetings with local businesses to bring the Cloudy name to highly reviewed locations  Tested and analyzed the Cloudy app for any bugs or inconsistencies and reported them to the designers developers ,FindTheBest,Product Management Intern, Developed web products from start to finish pertaining the Microsoft Word software Super Smash Bros series and online movies and TV shows streaming services ,University of California Irvine,Activities and Societies  Delta Sigma Pi  Pi Sigma Accounting Association Undergraduate,1,,,
Google,Software Engineer,Forward Deployed Engineering Intern at Palantir Technologies June 2014   September 2014  4 months ,Palantir Technologies,Forward Deployed Engineering Intern,SDE Intern at Amazon June 2013   August 2013  3 months ,Amazon,SDE Intern,Education Stanford University Bachelor s degree Computer Science 2011  2015 ,0,0,0,0,0,0,Stanford University,0,3,,,
Google,Telephony/Modem Test Engineer - Nexus/Pixel,Location California  Nexus Smartphones Tablets  Take up leadership responsibilities by delagating tasks to the team solving setup and testing issues and getting the work done in a timely manner with quality  Test daily software builds on all Telephony features on all Android based Nexus devices related to the yearly update  Test Emergency E911 tests on all Android based Nexus devices on Anritsu 8475 RF Simulator  Run Power management tests manual automation using a power tool on all Android based Nexus devices and provide measurements in the test tracker for review  Prepare test reports on daily testing and provide the results to the team  File and verify ciritical framework and modem related bugs in the bug management tool  Setup and maintain different work stations in the lab with respect to hardware equipments accessories and software configuration on the Test Systems needd for daily testing  Work with multiple teams on Telephony related issues to get it tested and verified ,on Engineer - Xperia at Sony Mobile Communications,Software Verifi,Location California Texas  Xperia Smartphones and Tablets Sony onsite interface at Soft card Lab for NFC Payment Mobile Application Lab Certification on Android based Xperia devices  Performed daily software build test on NFC functionality on all Android based Xperia devices  Performed daily software build test on NFC payment application called Softcard acquired by Google for Level 2 Compliance Testing  Performed FOTA test using VZW Sony internal server to run test cases on NFC payment application Softcard  Performed complete  limited scope Functional  Regression test on Retail Sony devices mobile tablets and updated the results on Quality Center  Performed E911 Testing on all Android based Xperia unlocked retail devices using the Agilent 8960 and Anritsu 8475 Test Simulators on UMTS bands Also prepared E911 Test Execution documents  Reported verified issues on Android based Xperia devices in IBM Clear Quest bug management tool for critical fixes  Performed Exploratory Focus testing on TMO products for ongoing critical SW releases  Supported the RAT team to perform IMS VoIP and LTE RCS testing on LTE 3GPP on Android based Xperia device TMO carrier on the Spirent Test System  Supported the RAT team to perform RF Conformance and Signaling testing on CDMA 3GPP2  on Android based Xperia device VZW carrier on the Spirent Test System  Performed Log Analysis on LTE devices using Qualcomm tools QXDM QCAT data logs using PCAP files on Wire shark and UE logs using ADB Logcat  Supported Field Test Team with AGPS testing on 2G 3G and 4G LTE network technologies for E911 and Mobile Termination Location Request MTLR using LCAT Tool  Supported Power Management team with Verizon Test Plan on Days of Use Battery testing  Good understanding of Wi Fi standards 802 11 a b g n ac and protocols TCP IP OSI  Bluetooth fundamentals protocol stack  profiles for BL Classic and Bluetooth Low Energy BLE Smart  ,Motorola,Device Test Engineer - Moto Droid, Location Washington New Jersey 1 Familiarity with wireless analysis over TCP IP and UDP protocol and troubleshooting using Wire Shark 2 Data Throughput field testing on Windows Nokia tablets on Verizon  ATT network in using Datum tool to run on FTP HTTP and UDP servers collecting QXDM logs 3 Motorola device testing on Verizon network executing call data and feature performance testing on the test devices under LTE EVDO  1XRTT 4 Motorola field test training on T Mobile network executing call performance call quality tests and stationary data testing stationary mobility for 2G 3G ,Scarlet Wireless Inc.,LTE Field Test Engineer - ATT & Ericsson Project,Location Tennessee Kentucky 1 Proficient in NEMO software in collecting LTE PS Session logs for cluster drives on LTE network 2 Worked with Ericsson engineers to complete daily drives for AT T in collection and optimization of the data 3 Performed network trouble shooting drives cluster drives for hand over IRAT reselection data throughput UL DL CSFB cell activation 4 Proficient in TEMS 14 0 software to detect the RSSI RSRP Throughput on GSM UMTS and LTE for T Mobile AT T network 5 Assisting the RF Engineers with various issues including customer complaints swapping sectors etc 6 Experience with handling JDSU Equipment to detect signals for MME on LTE network 7 Knowledge in using MS Streets and Trips MS Excel and MapInfo for creating and editing drive routes ,T-Mobile,LTE Field Test Engineer - TMobile Project,Location Washington Performed RF Drive Testing for data collection using TEMS field test tool in live T Mobile network environment Acquired good Understanding of 2G 3G LTE Layers 1 2 and 3  Performed call performance testing on designated routes using Streets and Maps around the T Mobile Cell towers Performed IRAT and Inter Intra BSC RNC TAC handover testing on TMobile network environment  Drive testing for 2G 3G 4G protocol GSM GPRS UMTS LTE VoLTE and provide issues encountered with respect to call quality drop calls cell swap to the T Mobile team Also performed in building walk tests to ensure T Mobile coverage via small cell or signal boosters ,0,0,1,,,
Blackbaud,Senior Software Engineer, Leading a team to develop a workflow management system for high level cross application integration ,Convio,Software Engineering Intern, Fixed bugs within a Java legacy code base  Developed and maintained REST API s  Created front end functionality to assist with non profit fundraising with JavaScript HTML and an internal Java based web framework ,Amazon,SDE Intern, Developed an internal Ruby on Rails app to assist in the onboarding process for managers  Utilized the internal hosting service on top of a PostgreSQL database  Large focus on understanding customer requirements and UX design  Heavy use of Javascript to meet customer needs ,0,0,0,0,0,0,The University of Texas at Austin,Loyola University New Orleans,2,,,
Snapchat  Inc.,Software Engineer,work on ads ,Facebook,Software Engineer,Work on Messenger web messaging product infra at Web Messenger Team ,Columbia University in the City of New York,TA of Advanced Machine Learning,Software Engineering Intern at Highbridge Capital Management May 2014   August 2014  4 months ,Highbridge Capital Management,Software Engineering Intern,Education Columbia University in the City of New York Master Computer Science 2013  2015 Activities and Societies  Women In Computer Science Beijing University of Post and Telecommunications Bachelor s degree Electrical and Electronics Engineering 2009  2013 ,0,0,0,Columbia University in the City of New York,Master Computer Science 2013  2015,3,,,
Google,Software Engineer,Data Sciences Engineer at Sumo Logic April 2014   June 2015  1 year 3 months , Sciences Engineer at Sumo Logic,,Software Engineer at Facebook February 2013   March 2014  1 year 2 months ,Facebook,Software Engineer,Machine Learning Ads Conversion Optimization Team ,The University of Texas at Austin,Teaching Assistant,TA of CS 314H Data Structure Honors Course with Prof Calvin Lin , Computer Science Student at University of Texas at Austin,Grad,Area of Interest Machine Learning Algorithms Game Theory Auctions  ,The University of Texas at Austin,Master of Science Computer Science 2011  2012,2,,,
